temperature,rainfall,humidity
27.43,277.39,59.43
22.52,119.28,75.04
22.12,187.48,72.16
15.92,233.95,68.09
30.24,235.18,93.99
27.57,155.78,38.28
16.29,257.39,59.50
21.97,117.41,90.72
37.71,266.61,26.23
20.99,72.07,24.47
18.62,84.06,38.66
27.24,15.94,70.64
39.64,238.67,40.79
21.05,125.12,35.22
31.80,68.73,56.70
34.04,69.54,69.09
20.94,270.42,39.88
33.21,250.17,44.06
24.19,166.06,69.08
30.81,184.83,95.66
30.84,142.30,73.98
28.39,117.50,82.63
17.26,274.64,49.34
35.88,37.68,41.78
23.02,125.53,56.34
19.66,103.37,84.57
16.02,149.45,56.50
29.77,137.29,87.74
31.94,155.67,99.10
15.41,41.98,25.76
27.80,153.94,23.63
20.66,72.73,31.97
31.13,55.30,50.75
19.36,19.45,30.48
32.27,228.80,89.65
24.67,128.23,21.85
38.42,187.99,45.26
18.44,218.28,34.78
23.53,203.79,94.52
17.84,141.15,73.56
38.12,116.37,92.96
36.93,112.79,97.79
21.45,192.01,59.77
31.50,148.44,38.75
35.43,254.74,35.50
28.88,262.41,37.83
28.24,51.17,76.69
21.05,40.87,23.24
17.33,189.12,24.11
37.43,90.37,68.65
37.51,5.57,71.36
30.83,266.59,73.22
23.48,68.07,49.75
23.73,278.78,84.48
33.15,215.23,62.69
37.43,228.80,28.44
37.18,60.44,83.77
34.50,70.26,96.25
31.05,156.38,24.80
17.10,51.63,51.31
19.04,91.63,59.00
37.46,96.44,31.72
30.16,47.89,89.42
15.23,61.55,42.73
17.54,236.57,82.64
31.59,50.16,73.68
15.13,8.54,67.84
19.02,188.81,35.37
28.72,292.79,37.66
32.30,99.36,23.79
31.30,35.60,39.26
20.61,171.12,47.64
32.80,271.91,86.65
20.93,235.22,49.31
23.13,186.75,80.37
33.66,94.52,55.16
31.24,162.56,82.79
36.23,27.37,98.10
31.44,203.68,39.19
29.21,217.53,88.99
17.34,289.51,69.75
24.19,78.12,85.38
21.63,5.54,72.13
21.10,163.68,53.92
39.33,212.04,38.25
24.83,237.12,25.60
37.30,58.12,62.84
30.78,78.53,99.23
34.87,153.78,79.04
27.57,99.18,46.19
29.42,258.15,86.18
27.31,142.13,81.52
19.88,239.87,42.53
33.06,174.19,21.14
22.02,231.93,29.45
15.61,99.80,90.18
31.14,249.42,86.93
19.43,82.37,43.62
38.51,163.83,42.82
38.85,64.20,83.43
37.87,142.66,95.02
24.25,95.45,82.33
15.39,80.01,68.45
38.21,290.10,39.41
25.70,48.02,62.06
39.17,236.20,38.68
39.09,295.25,84.64
36.33,5.97,50.96
22.36,209.71,86.70
24.63,75.87,50.53
36.28,12.15,85.93
22.92,120.87,46.67
19.24,280.57,55.21
28.92,3.53,69.24
38.40,176.37,25.62
32.40,150.42,95.86
29.25,262.02,65.89
17.43,25.20,60.63
30.38,204.46,87.15
39.75,204.03,89.26
18.50,200.72,61.78
27.96,282.70,94.18
36.93,246.93,25.18
33.52,12.59,29.06
32.43,141.32,67.74
32.56,119.39,48.33
23.99,93.04,57.14
22.34,135.40,46.25
35.23,115.26,52.38
35.25,129.70,85.81
36.68,293.78,67.48
37.83,26.59,99.79
27.78,276.67,82.95
27.54,144.07,41.89
34.96,187.12,41.15
31.25,249.05,46.87
32.55,108.14,87.46
34.89,129.13,22.18
37.25,122.86,38.41
23.45,112.42,92.39
24.39,277.66,71.19
17.35,248.68,38.15
29.46,32.70,37.53
15.90,32.44,89.01
26.64,128.36,91.50
28.57,29.60,40.49
22.16,185.73,53.64
29.77,43.11,86.77
15.76,156.71,81.68
15.93,2.17,85.11
35.57,94.98,61.47
24.00,203.16,92.92
18.18,145.21,46.08
28.06,293.48,32.53
34.25,262.23,76.70
20.40,107.72,63.15
30.57,13.65,88.37
17.13,253.69,26.49
16.29,273.37,87.50
28.28,246.19,43.46
28.52,38.38,72.39
30.94,299.37,23.21
33.15,77.58,68.77
39.40,217.26,77.38
27.91,272.41,49.50
23.07,70.71,37.23
34.88,272.48,63.01
21.77,92.84,86.66
25.97,292.92,45.88
16.96,84.38,40.20
15.63,286.03,42.31
39.07,16.06,95.93
35.90,212.78,48.74
32.40,159.63,20.29
25.22,143.36,82.53
19.33,67.05,75.94
18.91,211.68,30.29
21.26,57.24,98.79
28.73,165.85,68.64
32.86,75.97,60.06
31.50,286.69,50.58
22.00,8.59,91.89
38.87,59.92,39.52
33.45,72.69,42.86
28.86,124.22,29.79
30.29,69.82,80.73
25.49,147.40,67.64
21.19,261.74,68.73
23.90,213.62,37.48
33.95,173.99,72.09
15.36,26.70,81.24
17.90,208.20,48.63
16.15,49.92,84.11
16.02,235.91,47.90
36.39,75.02,80.65
32.59,125.11,22.70
26.85,105.14,64.09
17.45,257.64,97.56
27.29,37.96,98.50
26.84,169.69,42.54
19.33,42.62,55.31
25.85,211.44,25.04
24.96,271.52,89.87
30.40,130.38,65.49
30.88,146.43,50.81
16.13,278.23,29.02
24.37,156.30,95.74
30.65,146.28,62.42
27.58,173.50,42.63
36.41,206.77,48.02
31.47,32.07,41.66
19.07,246.33,68.14
16.76,130.65,94.40
31.06,21.70,88.54
15.66,235.85,56.83
29.64,113.08,86.12
38.51,30.11,53.85
29.39,190.13,40.18
24.70,264.04,98.67
31.08,266.33,44.31
26.46,287.30,45.90
28.64,260.31,99.18
38.54,0.64,30.71
24.65,114.07,80.84
39.03,245.56,94.87
37.63,109.88,60.94
19.89,180.46,20.20
16.73,181.90,50.00
17.52,109.51,28.93
15.46,271.34,53.30
17.36,150.97,83.20
32.08,139.44,55.10
16.78,299.25,54.55
22.97,148.05,64.54
36.12,53.52,66.54
15.58,153.92,88.50
35.36,244.21,44.67
22.05,233.06,85.73
17.95,236.57,65.27
32.42,212.41,44.04
30.72,76.27,43.61
36.94,258.63,48.89
33.38,268.03,69.82
35.09,58.25,38.46
22.05,39.14,93.63
19.44,292.68,65.99
33.77,260.50,93.60
35.17,267.97,23.71
39.76,265.91,47.41
25.32,162.51,21.82
24.30,193.92,41.78
34.41,163.61,88.96
23.52,15.36,22.93
38.27,223.65,54.89
36.46,151.60,29.41
25.72,194.31,53.35
33.77,150.79,87.11
33.86,147.54,69.85
17.58,51.54,78.94
37.56,83.61,47.93
27.63,47.66,95.55
35.66,58.70,76.74
23.00,291.89,53.74
37.39,45.93,54.12
24.73,80.78,93.49
15.27,177.18,66.11
37.63,183.05,76.51
17.28,46.19,53.36
22.98,238.12,37.90
38.75,235.56,77.88
38.77,71.20,68.63
29.34,86.60,60.11
30.80,281.40,69.92
26.21,247.70,36.66
22.33,209.34,83.52
23.22,24.67,95.85
31.81,125.48,91.29
33.81,167.79,45.71
34.79,56.22,52.48
34.74,134.47,84.67
17.28,180.31,67.61
27.36,98.21,63.83
16.44,234.28,94.13
28.74,252.13,62.88
26.04,97.08,61.20
37.19,251.60,23.36
23.77,31.07,25.55
17.93,251.32,20.59
18.57,45.83,93.06
34.04,24.88,52.67
30.46,192.53,57.48
17.53,141.58,87.63
17.10,272.37,68.74
32.52,108.96,68.76
16.82,86.15,43.72
35.55,150.22,86.71
32.66,136.78,33.27
17.03,103.33,24.25
17.12,208.12,35.33
39.67,227.87,41.42
24.36,255.90,42.58
24.27,291.86,73.64
35.32,80.00,37.43
38.68,214.83,74.13
39.65,118.28,27.29
33.83,203.12,31.78
24.41,142.79,60.71
17.09,298.13,93.75
34.43,218.67,88.77
28.96,285.75,97.50
25.61,250.49,72.04
37.66,270.87,74.07
17.78,244.33,70.00
27.32,137.75,69.83
15.28,75.54,31.77
26.72,111.10,63.50
16.41,6.07,50.89
17.97,157.20,55.40
17.94,151.52,61.89
31.23,157.58,30.27
33.65,292.21,48.76
29.58,273.44,25.08
39.05,48.51,98.37
24.37,110.66,29.48
22.14,127.19,40.68
36.71,108.16,91.30
20.59,239.55,58.62
39.08,157.21,30.85
15.30,171.63,50.74
39.25,255.90,29.27
16.08,241.78,36.02
37.28,39.66,24.16
28.19,214.17,55.06
39.82,130.63,84.53
16.84,88.39,66.88
28.85,15.01,68.51
39.23,146.17,36.05
28.08,106.63,47.51
30.73,75.45,87.62
32.39,208.40,27.03
26.36,230.85,88.63
30.69,73.44,58.70
29.61,14.83,86.97
37.53,254.63,45.44
16.14,2.99,47.11
22.02,281.13,80.13
38.76,188.29,82.80
37.26,96.55,38.37
26.39,73.94,97.83
30.50,2.70,26.76
21.93,70.64,25.48
19.70,41.32,67.64
26.59,183.65,77.82
23.83,49.96,96.87
29.59,158.59,52.40
16.94,177.03,22.02
39.36,89.41,68.23
39.66,10.52,43.18
32.45,11.18,54.64
28.40,7.90,59.08
22.74,221.74,25.16
35.34,95.40,58.88
32.12,238.89,54.11
19.07,129.52,77.00
37.77,135.90,71.65
35.56,153.86,34.82
38.74,213.91,36.49
33.14,82.05,40.08
30.34,36.48,34.32
25.46,166.82,72.58
38.32,98.09,99.55
36.65,132.75,72.17
16.13,194.08,68.53
15.66,148.24,52.79
24.41,186.08,45.01
35.26,163.26,92.89
39.68,221.94,97.52
18.76,211.78,59.74
29.85,160.26,43.22
24.52,203.67,81.61
39.25,262.07,30.60
36.05,129.68,81.25
35.96,123.83,85.52
26.72,229.27,29.99
25.37,174.77,98.15
21.84,21.30,98.84
16.41,267.63,94.94
36.62,9.23,59.68
35.32,224.52,39.69
39.99,227.64,66.56
39.92,285.93,53.59
28.89,16.24,36.48
34.22,179.06,53.89
38.62,128.35,73.11
36.24,99.19,25.67
21.18,27.10,46.67
26.26,168.80,21.42
18.23,143.71,79.96
38.85,31.37,71.26
30.15,183.75,25.01
20.72,221.39,97.18
31.79,230.18,21.81
30.45,271.61,67.20
23.95,122.84,82.11
17.84,285.92,83.03
31.79,259.63,22.74
28.01,88.95,92.51
34.31,47.78,93.48
28.00,130.62,64.91
36.30,120.57,58.57
28.80,172.72,23.59
29.02,175.02,64.96
36.92,225.00,52.75
25.09,152.97,81.82
18.35,31.45,52.31
15.72,257.49,74.69
33.88,92.93,28.11
30.51,291.39,30.64
32.60,35.36,31.18
20.32,287.48,23.64
18.41,27.30,63.31
15.36,69.31,83.52
23.76,13.97,68.83
29.75,211.53,66.00
24.81,255.09,74.45
25.94,130.22,47.17
37.60,278.56,48.96
23.71,177.09,45.14
27.85,189.00,76.97
34.59,253.63,32.93
24.91,89.04,21.04
30.55,106.28,67.70
36.56,271.79,95.39
38.74,270.29,68.75
18.68,292.94,82.63
38.16,270.55,73.82
27.30,38.21,59.79
21.46,247.12,77.47
26.48,122.95,85.93
39.50,297.24,37.98
27.32,141.68,46.89
23.22,166.15,37.90
30.84,158.93,56.17
21.00,96.52,90.81
16.90,22.51,47.62
18.22,268.70,49.96
18.20,240.80,88.83
18.80,41.86,61.23
18.47,233.03,62.84
31.02,187.75,88.86
19.55,122.74,59.24
23.64,76.21,74.52
37.42,257.92,26.85
26.85,210.06,34.29
31.69,164.32,52.35
19.31,182.87,59.59
19.81,27.32,97.26
16.02,142.18,97.65
19.22,58.11,88.10
21.96,62.52,45.25
19.43,198.39,97.12
17.22,273.38,75.15
18.02,121.13,51.44
26.52,62.32,76.13
20.16,194.62,21.32
24.11,261.36,31.69
27.59,224.50,86.37
32.26,260.63,71.65
15.98,160.97,49.14
34.99,225.56,60.05
30.70,42.02,92.41
17.04,104.48,70.53
36.84,116.86,51.85
38.02,153.39,29.63
16.53,278.72,43.50
21.92,262.29,98.27
35.16,40.36,54.99
33.71,51.84,57.75
19.61,107.29,59.89
20.23,87.22,90.73
24.26,184.43,68.31
27.11,270.83,75.49
30.46,288.69,51.15
24.22,196.08,22.33
26.56,251.45,94.48
33.69,157.56,95.93
15.92,62.50,95.93
21.31,157.41,95.49
32.83,166.52,85.22
37.38,222.74,74.77
27.79,65.96,87.56
28.30,110.49,68.04
17.68,109.21,30.75
26.19,287.83,51.30
28.32,133.18,97.70
21.06,226.53,48.09
21.73,225.24,89.43
24.43,79.66,27.46
15.50,171.56,46.73
23.05,268.29,48.08
20.29,142.56,24.13
23.19,283.54,29.53
17.99,64.34,35.45
37.26,22.25,87.03
29.84,267.44,25.07
31.98,254.30,43.90
34.73,297.78,20.81
27.46,203.82,75.65
17.17,281.01,69.62
28.43,248.08,71.60
29.67,253.33,49.95
33.64,170.74,36.66
25.79,114.71,77.63
18.19,280.37,84.89
22.09,129.64,31.09
24.08,161.65,58.95
31.15,133.83,39.90
29.27,169.45,33.45
23.90,141.15,78.75
39.66,14.39,63.05
30.14,264.61,37.29
20.93,133.32,44.80
17.54,176.68,97.33
18.82,41.76,87.89
21.15,1.02,90.40
19.02,73.59,56.80
19.66,211.38,69.90
22.13,29.76,50.14
19.33,272.67,26.22
37.42,64.51,52.09
17.01,61.38,67.52
28.11,54.45,42.97
25.26,4.19,87.84
39.56,231.54,32.09
17.80,262.51,49.37
24.95,184.25,29.99
39.24,56.46,52.39
36.64,85.58,23.17
35.43,142.78,41.80
21.45,286.30,52.06
19.27,74.21,58.25
31.72,219.49,63.50
38.23,131.83,42.00
28.92,89.35,61.84
29.29,136.77,60.72
22.00,21.36,45.29
34.24,239.61,86.42
19.68,72.99,63.65
23.09,217.62,46.58
25.64,20.50,95.79
27.69,286.53,87.61
21.06,57.90,98.61
17.87,264.82,75.38
30.27,242.84,50.26
22.22,290.36,42.47
29.53,143.37,73.07
18.86,218.22,98.47
27.03,111.21,70.14
28.31,55.31,90.53
16.30,132.92,46.33
23.42,49.72,52.56
18.36,294.61,92.50
16.58,28.87,80.55
39.75,176.76,98.51
23.06,187.94,81.98
35.25,161.42,55.88
21.37,198.66,62.49
32.04,34.85,92.04
34.01,166.51,64.13
29.89,86.16,40.43
26.79,282.05,54.85
25.30,228.62,61.31
23.72,291.75,27.74
38.24,11.27,79.50
35.77,85.54,28.75
39.13,58.63,52.39
18.11,3.35,84.37
33.27,72.70,57.41
38.46,203.63,87.36
19.53,69.33,47.35
16.66,152.70,96.61
33.53,266.35,36.76
29.36,208.13,23.06
36.05,118.39,89.79
18.49,111.74,80.18
34.88,136.72,38.56
20.04,53.11,98.78
19.09,190.20,60.18
19.11,109.25,96.09
35.36,255.71,60.40
31.63,226.97,57.75
28.08,183.15,55.93
23.97,109.26,46.79
36.93,62.98,62.70
24.81,232.85,56.20
35.41,145.92,22.94
25.98,67.43,40.83
24.42,58.55,37.05
26.57,49.62,89.39
22.53,233.15,67.91
33.69,68.70,81.09
27.57,157.99,96.55
20.81,135.46,71.52
37.49,173.88,98.61
24.60,263.15,44.94
28.59,260.32,34.90
37.66,135.32,52.26
30.61,4.61,57.66
17.92,127.93,91.63
38.50,181.86,64.80
30.69,167.33,43.37
23.37,195.40,79.41
18.48,46.22,60.47
34.85,193.96,32.97
30.50,54.80,66.15
28.34,225.16,92.91
37.35,101.73,87.41
34.71,212.97,66.94
18.79,14.36,50.17
22.79,122.36,26.96
21.21,211.51,57.57
33.60,68.06,80.17
15.84,238.59,48.82
29.25,189.23,38.84
34.06,176.27,94.51
36.92,106.06,85.72
23.55,144.74,71.06
35.53,179.20,30.94
17.77,141.74,31.59
36.16,209.49,28.26
18.19,130.11,69.30
24.93,60.68,29.25
34.93,64.18,87.41
18.75,1.74,99.44
20.73,90.29,49.31
33.06,224.68,56.29
33.00,238.25,76.93
31.03,60.74,94.97
32.35,287.71,91.53
28.57,150.72,24.61
21.29,275.09,33.53
23.64,212.03,80.37
19.54,216.73,75.11
37.71,25.51,30.66
29.58,66.00,60.17
25.02,2.64,82.47
26.55,214.84,37.50
38.68,103.33,89.70
18.83,236.00,24.24
29.66,101.68,82.58
27.65,245.80,69.27
30.29,39.21,45.22
15.45,52.01,77.67
36.80,102.26,82.59
38.30,122.55,94.71
29.13,104.61,49.42
32.42,229.09,74.88
38.06,29.09,68.21
32.68,105.37,62.02
18.81,251.17,91.23
29.41,20.04,20.25
30.17,282.70,42.57
25.60,295.90,63.06
33.41,26.57,34.26
38.36,87.38,92.63
38.14,111.72,71.81
26.27,232.92,58.23
17.83,178.78,85.18
39.62,193.31,56.07
35.97,227.25,64.69
18.12,35.39,20.22
38.02,249.96,49.26
36.75,211.69,31.10
27.97,173.20,75.18
29.78,266.92,58.32
24.98,210.09,44.14
16.37,60.51,57.43
23.38,128.92,36.77
35.07,148.21,94.01
15.12,16.57,24.32
23.34,286.39,89.23
24.95,38.57,60.91
28.43,209.24,69.52
38.00,151.87,44.21
23.66,7.69,97.34
23.67,277.42,42.55
33.44,255.55,67.11
26.31,157.28,99.47
20.62,68.68,90.49
26.31,36.49,62.91
18.52,109.02,99.23
19.41,76.63,76.11
27.46,152.01,36.70
25.47,289.92,52.45
37.87,172.49,46.76
24.06,266.98,47.52
29.51,195.26,80.84
30.81,142.57,66.74
15.33,256.38,23.05
31.59,141.41,90.20
19.45,260.59,43.74
39.03,87.47,99.77
18.72,38.64,96.34
25.37,256.59,95.24
17.13,176.22,84.89
39.92,266.73,37.65
27.55,281.35,62.61
29.88,16.09,37.94
16.68,150.29,40.77
33.75,112.49,68.88
20.25,187.76,23.27
37.45,238.08,97.56
20.13,84.18,93.49
19.77,167.04,50.46
15.91,212.62,61.23
26.80,40.33,57.29
29.12,244.22,90.58
16.64,181.83,75.09
34.39,284.86,42.25
26.33,101.86,55.75
28.11,32.44,54.32
26.02,151.95,96.75
25.02,25.74,34.02
28.99,290.86,27.17
18.88,11.61,90.45
19.55,226.05,91.73
36.54,157.53,89.74
38.65,110.59,60.88
24.33,19.75,72.78
21.77,186.65,65.07
31.10,175.57,25.56
25.22,84.26,67.67
15.63,273.07,21.09
18.90,91.23,46.00
32.90,134.92,94.58
31.47,163.13,44.32
15.68,30.07,95.19
20.55,279.65,40.01
20.78,112.36,45.16
31.80,24.23,70.27
15.49,116.19,80.93
17.60,180.06,60.11
35.00,154.10,90.57
19.46,208.36,23.22
31.32,16.65,93.78
20.95,85.36,35.70
17.49,245.77,90.74
21.08,23.97,52.07
33.06,256.65,86.62
36.39,27.57,73.73
35.76,250.34,34.08
24.93,108.24,93.44
31.70,183.66,39.64
20.12,45.87,39.53
22.33,19.85,85.13
37.41,64.78,28.47
15.33,38.36,37.76
17.14,93.72,60.29
20.20,154.31,86.44
15.66,176.63,31.80
19.54,236.96,63.81
29.58,196.87,76.90
25.54,182.63,88.85
37.32,123.53,94.85
35.44,142.14,82.77
23.55,124.36,72.23
21.49,252.65,54.69
24.49,69.00,28.97
29.76,1.72,76.78
21.70,195.40,99.42
30.60,60.74,78.94
25.24,267.03,21.34
28.80,257.71,59.70
25.90,23.02,69.17
22.36,31.92,75.17
38.71,148.55,77.58
34.09,182.77,64.65
18.50,82.47,37.87
36.71,215.04,95.38
27.19,178.47,75.73
37.36,97.45,38.95
35.00,7.61,45.79
25.63,225.05,93.75
15.56,64.43,91.00
21.72,250.34,52.41
28.54,126.09,23.06
30.84,173.12,23.88
21.45,261.88,42.71
18.48,259.09,70.33
35.87,111.46,66.74
39.61,62.67,70.71
28.14,232.54,77.38
19.29,129.92,21.52
21.81,57.61,28.41
15.46,271.33,48.76
37.86,59.43,32.39
17.94,7.74,26.03
29.41,6.08,71.28
21.85,186.69,85.23
28.85,198.50,80.21
31.29,93.31,85.36
35.74,96.00,73.27
20.16,101.85,78.83
15.27,204.05,41.74
18.42,17.44,99.44
37.50,278.73,34.65
36.85,66.76,37.16
29.94,299.90,43.11
30.01,51.46,98.03
31.63,231.46,99.06
19.38,67.02,83.59
37.86,24.25,70.32
25.47,262.48,61.61
24.58,257.63,97.65
27.97,121.07,75.65
16.17,210.72,95.58
19.16,167.12,45.32
33.45,255.89,46.70
17.07,94.52,88.38
30.08,157.10,31.99
21.13,145.61,95.67
24.73,106.17,60.60
22.22,267.44,94.11
23.89,49.76,46.94
32.98,44.85,77.28
22.43,173.07,58.63
29.16,197.25,70.14
26.90,58.39,60.35
31.59,117.22,97.37
38.42,283.97,75.37
33.31,73.99,40.11
20.37,200.51,92.77
15.78,222.04,43.52
21.56,134.44,49.73
29.88,281.26,28.17
16.29,221.00,92.00
27.41,137.38,42.89
29.92,170.80,40.71
23.36,207.78,93.62
34.27,177.66,84.44
17.66,263.61,31.29
16.88,107.07,81.55
33.20,89.97,93.04
27.39,64.15,26.28
32.21,11.33,86.02
25.87,12.90,63.79
21.16,261.02,73.54
35.48,203.52,59.43
34.99,198.16,75.82
32.37,184.39,22.73
21.80,254.77,81.02
29.76,144.08,22.67
24.02,261.12,56.42
17.29,107.83,32.08
37.93,278.01,85.89
18.42,209.60,45.09
38.76,77.15,56.33
26.15,169.23,54.30
19.63,159.91,81.80
28.55,41.37,58.49
36.82,177.37,83.12
33.31,94.44,25.88
35.16,15.70,35.33
31.47,284.60,64.12
32.31,192.45,95.77
36.23,263.08,25.98
21.24,202.82,23.45
27.24,107.10,32.52
20.53,153.81,71.29
39.69,202.72,51.92
38.60,288.08,86.04
15.99,76.10,25.75
32.64,262.49,35.71
38.13,277.22,44.00
19.51,201.12,70.14
29.20,279.38,74.81
37.89,119.36,29.94
15.85,285.90,95.50
32.44,210.83,47.28
22.43,12.60,77.05
38.11,272.06,61.94
39.28,145.34,37.82
38.61,138.10,87.70
26.86,169.94,85.46
36.55,44.82,51.69
36.11,140.75,67.09
22.98,249.34,40.63
35.72,4.64,75.19
15.93,81.88,44.72
29.91,0.74,87.53
20.75,124.71,37.39
18.01,218.49,21.18
16.92,239.63,41.48
32.41,283.56,35.28
23.50,182.55,60.66
33.12,76.39,36.30
16.63,277.24,81.06
22.88,232.59,39.31
28.49,172.33,76.56
34.77,208.69,66.28
22.97,277.29,98.90
30.65,213.72,99.99
37.15,110.51,89.56
30.40,213.91,80.80
20.82,12.08,50.92
15.61,115.92,80.26
36.75,121.90,96.53
15.53,50.05,21.87
36.87,6.93,63.03
28.22,40.01,37.44
38.48,196.39,64.63
34.97,240.69,57.32
39.95,296.46,66.06
23.77,103.91,64.08
34.18,179.81,96.81
25.05,281.14,64.17
27.00,50.11,87.70
30.69,215.29,45.59
36.84,226.49,55.05
39.60,26.69,57.63
34.21,258.37,42.30
25.44,243.93,50.38
25.53,10.02,67.88
33.44,27.33,66.42
20.97,14.74,70.91
17.76,100.42,48.15
23.87,152.79,45.27
22.18,159.70,68.93
22.41,80.30,30.63
20.84,273.48,40.24
16.05,110.48,23.37
15.45,13.67,25.81
39.69,90.07,39.47
25.69,159.33,21.56
24.61,122.47,39.63
31.99,82.15,72.40
20.46,39.40,24.89
38.75,245.75,54.94
34.66,298.84,93.05
17.24,98.86,83.30
25.44,114.49,44.44
36.98,185.41,93.98
38.62,215.53,46.37
26.69,117.61,25.80
30.34,271.48,99.52
19.18,168.00,89.60
39.78,135.12,57.27
20.79,194.00,73.31
38.57,285.84,73.70
31.24,238.37,35.56
30.19,12.00,36.00
27.82,99.69,57.57
20.77,141.16,92.93
19.41,94.36,20.80
20.51,210.06,82.60
19.66,247.88,24.60
34.49,219.40,58.26
23.75,296.80,71.03
16.45,81.76,74.94
39.23,262.50,24.68
37.09,229.99,53.49
38.19,108.65,66.71
39.87,220.24,25.28
19.35,31.22,30.81
24.91,236.80,73.09
33.96,159.70,61.73
32.40,87.69,32.95
18.85,196.73,62.82
35.40,192.49,93.02
20.61,62.85,21.25
20.60,9.12,71.41
28.42,130.09,25.89
29.82,170.85,20.52
29.50,262.98,32.05
17.29,278.47,53.83
36.94,158.64,84.19
21.64,226.14,42.54
18.24,131.79,70.05
37.22,223.82,52.89
38.89,61.44,38.75
36.55,111.32,61.14
35.24,190.27,83.80
31.38,5.45,86.60
28.77,216.74,87.72
17.17,250.66,47.08
25.21,119.74,83.48
24.32,134.38,36.97
21.49,255.38,79.07
33.09,232.70,95.87
27.40,86.44,21.10
17.03,97.19,55.23
20.50,203.66,71.82
32.08,168.96,76.14
16.90,48.67,34.09
36.28,92.98,97.77
27.38,269.99,69.22
27.01,206.45,33.15
29.81,295.79,21.64
35.62,230.10,82.66
23.70,282.59,26.38
31.95,64.86,31.28
29.14,231.45,65.99
21.68,6.07,68.28
36.97,201.23,74.95
34.94,140.78,51.48
31.46,104.03,81.91
36.26,258.72,97.95
36.68,256.28,41.69
32.71,6.69,76.24
35.93,182.85,94.28
32.44,110.35,74.90
32.00,124.70,74.49
30.47,249.61,37.90
33.82,92.95,62.81
18.97,282.91,65.00
37.02,53.89,76.01
36.80,198.82,99.75
15.73,201.63,22.69
35.65,75.66,25.22
18.22,97.43,26.24
23.38,250.44,79.44
33.59,228.54,30.91
